X,Y
9.7169,112.843
9.7443,120.558
9.7716,124.733
9.7990,159.110
9.8264,135.703
9.8538,118.355
9.8811,117.819
9.9085,103.825
9.9359,90.908
9.9632,83.154
9.9906,80.350
10.0180,83.020
10.0454,88.485
10.0727,88.782
10.1001,84.651
10.1275,83.996
10.1548,84.605
10.1822,95.257
10.2096,96.943
10.2370,89.177
10.2643,87.316
10.2917,83.964
10.3191,71.026
10.3464,56.487
10.3738,48.903
10.4012,47.296
10.4286,47.111
10.4559,50.268
10.4833,57.757
10.5107,60.305
10.5380,49.643
10.5654,44.731
10.5928,41.902
10.6202,38.303
10.6475,33.688
10.6749,29.297
10.7023,28.610
10.7296,30.436
10.7570,31.323
10.7844,32.744
10.8118,35.382
10.8391,37.442
10.8665,37.360
10.8939,35.572
10.9212,36.187
10.9486,39.481
10.9760,45.261
11.0034,54.309
11.0307,42.691
11.0581,36.884
11.0855,36.058
11.1128,33.258
11.1402,34.612
11.1676,28.863
11.1950,26.480
11.2223,25.809
11.2497,25.251
11.2771,24.781
11.3044,23.996
11.3318,23.178
11.3592,22.842
11.3866,20.980
11.4139,17.901
11.4413,16.586
11.4687,15.418
11.4960,15.021
11.5234,14.687
11.5508,13.728
11.5782,12.414
11.6055,11.393
11.6329,9.138
11.6603,8.372
11.6876,6.887
11.7150,6.045
11.7424,6.000
11.7698,6.000
11.7971,6.630
11.8245,6.865
11.8519,5.290
11.8792,5.190
11.9066,5.641
11.9340,5.827
11.9614,6.307
11.9887,5.841
12.0161,5.172
12.0435,5.006
12.0708,4.478
12.0982,3.806
12.1256,4.035
12.1530,4.043
12.1803,4.320
12.2077,4.396
12.2351,4.999
12.2624,5.001
12.2898,4.044
12.3172,3.362
12.3446,3.333
12.3719,3.337
12.3993,3.972
12.4267,3.065
12.4540,3.309
12.4814,3.315
12.5088,3.309
12.5362,3.304
12.5635,3.653
12.5909,3.667
12.6183,3.752
12.6456,3.766
12.6730,3.723
12.7004,3.611
12.7278,3.020
12.7551,2.355
12.7825,2.333
12.8099,2.177
12.8372,1.359
12.8646,1.333
12.8920,0.873
12.9194,1.066
12.9467,1.547
12.9741,1.555
13.0015,1.761
13.0288,1.756
13.0562,2.071
13.0836,2.069
13.1110,2.059
13.1383,2.699
13.1657,3.537
13.1931,4.166
13.2205,4.004
13.2478,4.479
13.2752,3.852
13.3026,3.344
13.3299,3.357
13.3573,3.007
13.3847,2.433
13.4121,2.443
13.4394,2.204
13.4668,2.585
13.4942,2.253
13.5215,1.887
13.5489,1.334
13.5763,1.342
13.6037,0.527
13.6310,1.187
13.6584,1.661
13.6858,1.667
13.7131,1.500
13.7405,1.818
13.7679,2.472
13.7953,3.195
13.8226,3.124
13.8500,3.113
13.8774,3.663
13.9047,3.667
13.9321,3.667
13.9595,3.667
13.9869,3.064
14.0142,3.000
14.0416,2.335
14.0690,2.001
14.0963,1.677
14.1237,1.667
14.1511,1.667
