X,Y
8.7315,50.0250
8.7589,46.4444
8.7863,44.6833
8.8136,44.0500
8.8410,44.7417
8.8684,45.4000
8.8957,46.8611
8.9231,46.0444
8.9505,44.0000
8.9779,42.8000
9.0052,41.7306
9.0326,40.8333
9.0600,41.5972
9.0873,42.0000
9.1147,42.0000
9.1421,42.2611
9.1695,42.0000
9.1968,42.0000
9.2242,41.3333
9.2516,40.6667
9.2789,40.0583
9.3063,40.3333
9.3337,40.7194
9.3611,41.0000
9.3884,41.6194
9.4158,42.5778
9.4432,42.9167
9.4706,43.2167
9.4979,43.2250
9.5253,43.2667
9.5527,43.2722
9.5800,43.2778
9.6074,42.6917
9.6348,42.6889
9.6622,43.3333
9.6895,43.3833
9.7169,44.3333
9.7443,44.0111
9.7716,43.3333
9.7990,43.3333
9.8264,43.0000
9.8538,42.3333
9.8811,41.6667
9.9085,41.6667
9.9359,40.6750
9.9632,40.6778
9.9906,40.6806
10.0180,40.6833
10.0454,41.0389
10.0727,41.0444
10.1001,41.6667
10.1275,41.6667
10.1548,41.6667
10.1822,41.6667
10.2096,41.6667
10.2370,41.0000
10.2643,40.6667
10.2917,40.3333
10.3191,40.5722
10.3464,40.2833
10.3738,40.0000
10.4012,40.0000
10.4286,40.6667
10.4559,40.6667
10.4833,40.7944
10.5107,41.3333
10.5380,41.3333
10.5654,40.8111
10.5928,41.3333
10.6202,41.0778
10.6475,41.0806
10.6749,41.3333
10.7023,41.2472
10.7296,41.2444
10.7570,41.3333
10.7844,41.0000
10.8118,40.6667
10.8391,40.3333
10.8665,40.1028
10.8939,39.4389
10.9212,39.2167
10.9486,39.1111
10.9760,39.1139
11.0034,39.1167
11.0307,39.4528
11.0581,39.1222
11.0855,38.3333
11.1128,38.3333
11.1402,39.0000
11.1676,39.1333
11.1950,39.6667
11.2223,39.6667
11.2497,39.6667
11.2771,39.6667
11.3044,39.2944
11.3318,39.3000
11.3592,39.6667
11.3866,39.9778
11.4139,40.4917
11.4413,40.8278
11.4687,41.3278
11.4960,42.3333
11.5234,43.3333
11.5508,43.3333
11.5782,42.6667
11.6055,41.6667
11.6329,41.0000
11.6603,40.0333
11.6876,39.3722
11.7150,39.0000
11.7424,38.3333
11.7698,38.1944
11.7971,38.0000
11.8245,38.0000
11.8519,38.0000
